titre,nom,date,dimensions,matériau,lieu,image
"Constel·lacions, 2022",Constel·lacions,2022,3 elements of 410 x 370 x 40 cm each,Stainless steel,"Gran Teatre del Liceu, Barcelona",https://jaumeplensa.com/gestorPlensa/images/entradas/entrada-40/113_constellacions.jpg
"Water's Soul, 2020",Water's Soul,2020,22 meter high,Polyester resin and marble dust,"Newport, Jersey City, NJ, USA",https://jaumeplensa.com/gestorPlensa/images/entradas/entrada-40/112_waters-soul.jpg
"Utopia, 2021",Utopia,2021,"4 portraits of 5,8 x 26 meters each",Marble,"Frederik Meijer Garden &amp; Sculpture Park, Grand Rapids, MI, USA",https://jaumeplensa.com/gestorPlensa/images/entradas/entrada-40/111_utopia.jpg
"Talaia, 2017",Talaia,2017,1400 x 478 x 703 cm,Polyester resin and marble dust,"Lanai, Hawaii, USA 2021",https://jaumeplensa.com/gestorPlensa/images/entradas/entrada-40/107_talaia-lanai.jpg
"Behind the Walls, 2018",Behind the Walls,2018,750 x 278 x 310 cm,Polyester resin and marble dust,"UMMA-University of Michigan Museum of Art, Ann Arbor, Michigan, USA",https://jaumeplensa.com/gestorPlensa/images/entradas/entrada-40/1_umma.jpg
"Nuria, 2017",Nuria,2017,350 x 275 x 344 cm,Stainless steel,"Philadelphia Museum of Art, Philadelphia, PA, USA. Gift of Aileen and Brian Roberts",https://jaumeplensa.com/gestorPlensa/images/entradas/entrada-40/106_nuria-philadelphia.jpg
"Julia, 2017",Julia,2017,700 x 238 x 95 cm,Cast iron,"Installation view at Östra Strandgatan, Umeå, Sweden. Private Collection, Umeå",https://jaumeplensa.com/gestorPlensa/images/entradas/entrada-40/107_julia_umea.jpg
"Carlota (oak) / Wilsis (oak) / Julia (oak) / Laura Asia (oak), 2019",Carlota (oak) / Wilsis (oak) / Julia (oak) / Laura Asia (oak),2019,variable dimensions,Bronze,"Installation view at Field of Dreams. Parrish Art Museum, Water Mill, New York, USA 2020",https://jaumeplensa.com/gestorPlensa/images/entradas/entrada-40/98_parrish-art-museum.jpg
"Dreaming, 2017",Dreaming,2017,850 x 109 x 310 cm,Polyester resin and marble dust,"Richmond Adelaide Centre, 100 Adelaide St. W, Toronto, Canada",https://jaumeplensa.com/gestorPlensa/images/entradas/entrada-40/103_dreaming_toronto.jpg
"Carlota, 2020",Carlota,2020,450 x 180 x 62 cm,Bronze,"Private Collection, Netherlands",https://jaumeplensa.com/gestorPlensa/images/entradas/entrada-40/97_carlota-rotterdam.jpg
